Key,Name,Disaster,Date,Cost,Deaths
24,Western Severe Storms and Flooding (February 1986),Severe Storm,1986-02-16,1520.6,13
25,Southeast Drought/Heat Wave (Summer 1986),Drought,1986-08-31,5176.4,100
26,Michigan Flooding (September 1986),Flooding,1986-09-12,1140,10
27,U.S. Drought/Heat Wave (Summer 1988),Drought,1988-08-31,54210.6,454
28,Southern Derecho and Severe Storms (May 1989),Severe Storm,1989-05-06,1401,21
29,Northern Plains Drought (Summer-Fall 1989),Drought,1989-11-30,7778.2,0
30,Tropical Storm Allison (June 1989),Tropical Cyclone,1989-06-28,1480.1,11
31,Hurricane Hugo (September 1989),Tropical Cyclone,1989-09-22,22589.7,86
32,"Winter Storm, Cold Wave (December 1989)",Winter Storm,1989-12-26,1693.8,100
33,Florida Freeze (December 1989),Freeze,1989-12-25,5180,10
34,Southern Flooding (May 1990),Flooding,1990-05-19,2446.7,13
35,Western Fire Season (Summer 1990),Wildfire,1990-08-31,1709,17
36,Colorado Hail Storm (July 1990),Severe Storm,1990-07-11,1976.3,0
37,California Freeze (December 1990),Freeze,1990-12-25,8398,0
38,U.S. Drought (Spring-Summer 1991),Drought,1991-08-31,7009.9,0
39,"Severe Storms, Tornadoes (March 1991)",Severe Storm,1991-03-29,1503.1,0
40,Hurricane Bob (August 1991),Tropical Cyclone,1991-08-20,3456.7,18
41,Oakland Firestorm (October 1991),Wildfire,1991-10-31,7557,25
42,Severe Storms (March 1992),Severe Storm,1992-03-25,1809.7,0
43,"Hail, Tornadoes (April 1992)",Severe Storm,1992-04-29,2147.4,0
44,"Severe Storms, Hail (June 1992)",Severe Storm,1992-06-20,1675.5,0
